@RELATION svmModel
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {Negative,Neutral,Positive}

@DATA
0.043607,0.035273,2.946660,0.097824,0.145051,0.260483,0.016300,0.056044,-30.126114,2.691000,0.296270,-0.252104,0.099808,-0.274650,-0.120628,0.006214,0.098529,0.057647,-0.042048,-0.056049,-0.136158,0.016731,0.004913,0.032756,0.014427,0.036738,0.013395,0.029926,0.003251,0.006228,0.020231,0.020085,0.008244,0.024308,0.040835,0.059133,0.321319,0.037631,0.035007,0.286974,0.009430,0.057886,3.975508,0.926592,0.950107,0.464166,0.447569,0.307009,0.377706,0.256654,0.281426,0.320307,0.216261,0.242597,0.242091,0.021661,0.007790,0.030851,0.015213,0.024538,0.020779,0.025687,0.006077,0.007445,0.021328,0.022536,0.018586,0.011729,Negative
0.026552,0.044980,3.087899,0.077631,0.126963,0.199940,0.023147,0.045100,-29.677448,2.613968,-0.170833,-0.251551,0.059836,-0.025302,0.003816,0.026447,-0.060322,0.050006,-0.064767,-0.010129,-0.004895,0.007261,0.005675,0.009552,0.009243,0.087796,0.013573,0.017207,0.004958,0.006717,0.009384,0.006907,0.003506,0.031709,0.041058,0.064424,0.316413,0.045816,0.040646,0.333925,0.042292,0.068012,4.460670,1.015699,0.844063,0.494239,0.423971,0.294212,0.327159,0.322615,0.300869,0.288367,0.301431,0.268678,0.316018,0.012485,0.009868,0.018008,0.018245,0.053862,0.018561,0.017067,0.009714,0.010407,0.011545,0.010642,0.005031,0.013627,Negative
0.025960,0.046773,3.059335,0.098539,0.164891,0.147583,0.017467,0.030596,-31.933726,2.904421,0.044668,-0.250990,0.174980,0.091675,-0.114221,-0.092167,-0.009907,-0.000375,0.017680,-0.024461,0.018990,0.013011,0.005583,0.035473,0.018231,0.055025,0.021837,0.026552,0.002973,0.008865,0.019996,0.012133,0.003145,0.031259,0.020685,0.063572,0.266023,0.025078,0.030060,0.237399,0.012513,0.038988,3.987875,0.734204,0.826934,0.546159,0.554352,0.297604,0.362977,0.294967,0.344792,0.388029,0.280414,0.262417,0.286804,0.020310,0.010498,0.027040,0.032790,0.027437,0.037723,0.026886,0.004179,0.013534,0.025133,0.011659,0.004104,0.012735,Negative
0.039610,0.047584,2.916044,0.098602,0.145423,0.254513,0.017031,0.059154,-30.174596,2.840218,0.012412,-0.430368,-0.155343,-0.099697,0.024815,0.056609,-0.020372,-0.009019,-0.109571,0.098688,-0.006189,0.010396,0.005455,0.014851,0.010398,0.063333,0.013000,0.018981,0.002012,0.008072,0.019757,0.014947,0.003627,0.027368,0.044470,0.067662,0.431982,0.047478,0.028665,0.354043,0.012686,0.076048,4.023125,0.808986,0.645194,0.467755,0.463471,0.340669,0.291028,0.317727,0.286223,0.266735,0.253266,0.229578,0.267738,0.011239,0.009794,0.013930,0.016343,0.044282,0.019085,0.025544,0.003214,0.013574,0.018565,0.021140,0.004553,0.009946,Negative
0.056919,0.060109,2.915254,0.114143,0.146828,0.256918,0.017407,0.073798,-29.618510,2.545650,0.013140,-0.476876,0.035421,-0.082686,-0.024294,0.005035,-0.048681,-0.099938,-0.115255,-0.112060,-0.160881,0.023096,0.008465,0.032307,0.011129,0.033674,0.013582,0.021152,0.003740,0.008229,0.013964,0.018410,0.006869,0.023781,0.056637,0.085198,0.398761,0.056366,0.033871,0.344789,0.010599,0.083350,4.049858,0.942544,0.835288,0.550876,0.518748,0.311109,0.339435,0.277208,0.273809,0.286195,0.238737,0.234961,0.285033,0.030910,0.012622,0.032914,0.014399,0.033901,0.021366,0.024486,0.008805,0.015240,0.017991,0.026843,0.011910,0.013769,Negative
0.041152,0.086957,2.990206,0.097741,0.136321,0.320726,0.036695,0.065139,-28.335530,2.230196,0.102267,-0.488889,-0.121974,-0.141504,0.047812,0.005269,-0.021145,0.002543,-0.178712,0.060583,0.005941,0.014848,0.005082,0.011567,0.012364,0.067573,0.016041,0.012151,0.001505,0.005343,0.010202,0.009439,0.005809,0.027637,0.055979,0.125134,0.364320,0.052056,0.037273,0.470218,0.058539,0.091135,5.865812,1.412487,0.984902,0.624551,0.537513,0.403984,0.373867,0.394220,0.418386,0.334427,0.282250,0.299711,0.294524,0.026082,0.010673,0.017497,0.023473,0.063785,0.027628,0.016543,0.002223,0.009303,0.019398,0.015969,0.011944,0.015089,Negative
0.027995,0.171629,3.168941,0.088419,0.149966,0.190689,0.021657,0.039292,-27.463043,2.530663,-0.191954,-0.472728,-0.009132,0.091707,-0.105842,-0.091380,-0.031831,-0.027525,-0.098619,-0.062151,-0.131297,0.019630,0.006057,0.019013,0.007752,0.054725,0.020761,0.019739,0.007477,0.011611,0.014409,0.013739,0.010040,0.029383,0.018266,0.176019,0.294198,0.024015,0.032989,0.229973,0.016888,0.036531,5.884849,0.941838,0.946172,0.640564,0.489278,0.466270,0.336718,0.351629,0.284538,0.318381,0.286025,0.323130,0.256876,0.032846,0.011596,0.022578,0.010701,0.048259,0.036324,0.020630,0.018431,0.022804,0.023755,0.015236,0.014447,0.014008,Negative
0.042680,0.126503,3.030521,0.104798,0.148494,0.244433,0.023228,0.058632,-29.249850,2.458734,0.374959,-0.287449,-0.168682,-0.087166,-0.092177,0.066634,0.055701,-0.132579,-0.287997,-0.081507,-0.056384,0.016575,0.005259,0.024204,0.018225,0.067617,0.006877,0.010480,0.002840,0.004658,0.011414,0.010270,0.003753,0.031267,0.056723,0.172592,0.406097,0.053516,0.031334,0.364581,0.024742,0.078436,4.416527,1.166585,0.987873,0.526065,0.462287,0.304640,0.387512,0.289338,0.327413,0.250007,0.324040,0.371859,0.310857,0.025090,0.009178,0.032097,0.027984,0.051327,0.013269,0.016978,0.008464,0.009542,0.022022,0.016950,0.007924,0.014942,Negative
0.047658,0.103276,2.854028,0.104496,0.145130,0.234204,0.020642,0.059812,-27.469905,2.629703,0.022243,-0.503849,-0.118212,0.012894,0.040033,0.034076,-0.033013,-0.100530,-0.232956,-0.094534,-0.056370,0.024343,0.005488,0.027301,0.020660,0.042638,0.014459,0.016235,0.003458,0.007044,0.015033,0.015222,0.005817,0.025167,0.055497,0.146340,0.481532,0.050549,0.035441,0.304060,0.014942,0.076018,5.581229,1.140822,0.828766,0.558771,0.480837,0.351806,0.367212,0.343956,0.388542,0.384142,0.273257,0.339246,0.303815,0.033696,0.009633,0.032286,0.038125,0.036198,0.022572,0.016070,0.007798,0.010680,0.020053,0.021086,0.008622,0.012769,Negative
0.053525,0.117365,2.967915,0.108140,0.137945,0.275450,0.022262,0.069401,-28.087461,2.572029,0.158480,-0.394776,-0.116228,-0.004518,-0.035982,-0.015897,-0.119835,-0.117980,-0.174742,-0.088288,-0.126163,0.014418,0.006351,0.016407,0.013540,0.053658,0.009903,0.015342,0.002886,0.009665,0.016606,0.010176,0.005517,0.025763,0.060436,0.139194,0.349591,0.053663,0.035185,0.361532,0.016339,0.077428,4.293128,0.958018,0.864818,0.575834,0.506161,0.409631,0.342289,0.247316,0.325968,0.290649,0.309692,0.307645,0.273959,0.021129,0.009430,0.018874,0.017604,0.053621,0.014652,0.022503,0.005384,0.015910,0.022436,0.012740,0.009828,0.013054,Negative
